repo,number,state,created_at,merged_at,closed_at,additions,deletions,changed_files,description_length,comments,reviews,time_to_merge,time_to_close
freeCodeCamp/freeCodeCamp,15987,MERGED,2017-10-19T09:07:53Z,2017-10-26T01:40:10Z,2017-10-26T01:40:11Z,8,4,1,1926,0,2,160.53805555555556,160.53805555555556
freeCodeCamp/freeCodeCamp,15988,MERGED,2017-10-19T09:21:36Z,2017-10-27T02:38:50Z,2017-10-27T02:38:50Z,10,4,1,1926,0,1,185.28722222222223,185.28722222222223
freeCodeCamp/freeCodeCamp,15990,MERGED,2017-10-19T09:34:34Z,2017-10-26T01:08:29Z,2017-10-26T01:08:29Z,8,4,1,1926,0,1,159.56527777777777,159.56527777777777
freeCodeCamp/freeCodeCamp,15995,MERGED,2017-10-20T07:04:52Z,2017-11-01T14:43:37Z,2017-11-01T14:43:37Z,33,33,2,2045,29,9,295.6458333333333,295.6458333333333
freeCodeCamp/freeCodeCamp,16003,MERGED,2017-10-21T12:16:40Z,2017-10-23T19:52:44Z,2017-10-23T19:52:44Z,1,5,1,2070,1,1,55.60111111111111,55.60111111111111
freeCodeCamp/freeCodeCamp,16012,CLOSED,2017-10-23T14:56:58Z,,2017-10-23T18:30:42Z,4,1,1,1927,4,2,,3.562222222222222
freeCodeCamp/freeCodeCamp,16013,CLOSED,2017-10-23T15:37:01Z,,2017-10-23T18:28:33Z,16,16,1,1926,3,1,,2.858888888888889
freeCodeCamp/freeCodeCamp,16024,MERGED,2017-10-24T16:10:00Z,2017-10-24T17:26:32Z,2017-10-24T17:26:32Z,4,0,1,2007,0,1,1.2755555555555556,1.2755555555555556
freeCodeCamp/freeCodeCamp,16029,MERGED,2017-10-25T03:14:42Z,2018-01-12T02:22:05Z,2018-01-12T02:22:05Z,11,8,1,1926,9,2,1895.1230555555555,1895.1230555555555
freeCodeCamp/freeCodeCamp,16033,MERGED,2017-10-25T23:25:33Z,2017-11-02T19:45:40Z,2017-11-02T19:45:40Z,18,2,2,2342,4,1,188.33527777777778,188.33527777777778
freeCodeCamp/freeCodeCamp,16036,MERGED,2017-10-26T04:13:31Z,2017-10-27T04:21:57Z,2017-10-27T04:21:57Z,29,0,1,2036,6,1,24.140555555555554,24.140555555555554
freeCodeCamp/freeCodeCamp,16038,MERGED,2017-10-27T01:01:11Z,2017-12-09T07:48:37Z,2017-12-09T07:48:37Z,4615,1176,2,2007,0,1,1038.7905555555556,1038.7905555555556
freeCodeCamp/freeCodeCamp,16043,CLOSED,2017-10-27T23:26:15Z,,2017-12-16T05:52:00Z,26,14,3,1433,6,1,,1182.4291666666666
freeCodeCamp/freeCodeCamp,16055,MERGED,2017-10-29T20:41:21Z,2017-12-09T07:10:46Z,2017-12-09T07:10:46Z,1,1,1,207,2,1,970.4902777777778,970.4902777777778
freeCodeCamp/freeCodeCamp,16068,MERGED,2017-10-31T11:51:37Z,2017-12-15T16:14:23Z,2017-12-15T16:14:23Z,48,0,1,2006,7,2,1084.3794444444445,1084.3794444444445
freeCodeCamp/freeCodeCamp,16079,MERGED,2017-11-06T01:31:42Z,2018-01-05T13:20:04Z,2018-01-05T13:20:04Z,11,5,1,25965,9,2,1451.806111111111,1451.806111111111
